"strain_id","box_name","tube_position","array_plate","array_well","growth_medium","stored_adjusted_od600","environmental_sample_id","sample_location","date_collected","latitude_collected","longitude_collected","isolation_description","broad_environment","ENVO"
"sie2115","V2_kuehnlab_strainbank_active1","A1","sequenced_strainbank_array1","A1","TSB_variant_b_0.1x",0.493,"sie21","Lawn (Japan House)","2019-05-24",40.093,-88.218,"No incubation","soil","ENVO:00001998"
"JFK3","V2_kuehnlab_strainbank_active1","A2","sequenced_strainbank_array1","A2","TSB_variant_b_0.1x",0.726,"","","",41.761921,-87.838646,"","soil","ENVO:00001998"
"sie1401","V2_kuehnlab_strainbank_active1","A3","sequenced_strainbank_array1","A3","TSB_variant_b_0.1x",0.685,"sie14","Lawn (Japan House)","2019-05-24",40.093,-88.218,"No incubation","soil","ENVO:00001998"
"sia0902","V2_kuehnlab_strainbank_active1","A4","sequenced_strainbank_array1","A4","TSB_variant_b_0.1x",0.723,"sia09","Lawn (Loomis)","2018-10-04",40.111,-88.222,"Incubated at room temperature for 7 days","soil","ENVO:00001998"
"fb15","V2_kuehnlab_strainbank_active1","A5","sequenced_strainbank_array1","A5","TSB_variant_b_0.1x",0.19,"EL_G","","2024-08-22",34.716462,-120.060468,"TSB_10%_pH8","soil","ENVO:00001998"
"fb61","V2_kuehnlab_strainbank_active1","A6","sequenced_strainbank_array1","A6","TSB_variant_b_0.1x",0.598,"EL_BO","","2024-08-21",34.716584,-120.060467,"TSB_10%_pH6","soil","ENVO:00001998"
"sid0505","V2_kuehnlab_strainbank_active1","A7","sequenced_strainbank_array1","A7","TSB_variant_b_0.1x",0.424,"sid05","Agricultural (soy field)","2018-10-18",40.057,-88.232,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sid0205","V2_kuehnlab_strainbank_active1","A8","sequenced_strainbank_array1","A8","TSB_variant_b_0.1x",0.59,"sid02","Lawn (Japan House)","2018-10-18",40.093,-88.218,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sic0404","V2_kuehnlab_strainbank_active1","A9","sequenced_strainbank_array1","A9","TSB_variant_b_0.1x",0.251,"sic04","Forest (Busey Woods)","2018-10-18",40.127,-88.209,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"OTU695","V2_kuehnlab_strainbank_active1","B1","sequenced_strainbank_array1","A10","TSB_variant_b_0.1x",0.435,"OTU69","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"sif0617","V2_kuehnlab_strainbank_active1","B2","sequenced_strainbank_array1","A11","TSB_variant_b_0.1x",0.958,"sif06","Lawn (Loomis)","2019-05-24",40.111,-88.222,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"OTU100","V2_kuehnlab_strainbank_active1","B3","sequenced_strainbank_array1","A12","TSB_variant_b_0.1x",0.039,"OTU10","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"sid0803","V2_kuehnlab_strainbank_active1","B4","sequenced_strainbank_array1","B1","TSB_variant_b_0.1x",0.205,"sid08","Prairie (Meadowbrook)","2018-10-18",40.079,-88.205,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sid1002","V2_kuehnlab_strainbank_active1","B5","sequenced_strainbank_array1","B2","TSB_variant_b_0.1x",0.29,"sid10","Lawn (Loomis)","2018-10-18",40.111,-88.222,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sic0105","V2_kuehnlab_strainbank_active1","B6","sequenced_strainbank_array1","B3","TSB_variant_b_0.1x",0.631,"sic01","Lawn (Japan House)","2018-10-18",40.093,-88.218,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"JFK2","V2_kuehnlab_strainbank_active1","B7","sequenced_strainbank_array1","B4","TSB_variant_b_0.1x",0.928,"","","",41.761921,-87.838646,"","soil","ENVO:00001998"
"sic1004","V2_kuehnlab_strainbank_active1","B8","sequenced_strainbank_array1","B5","TSB_variant_b_0.1x",0.67,"sic10","Agricultural (corn field)","2018-10-18",40.057,-88.232,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"BFD1a07","V2_kuehnlab_strainbank_active1","B9","sequenced_strainbank_array1","B6","TSB_variant_b_0.1x",0.629,"Soil 1","Bedford 1","2022-10-05",41.761921,-87.838646,"","soil","ENVO:00001998"
"OTU736","V2_kuehnlab_strainbank_active1","C1","sequenced_strainbank_array1","B7","TSB_variant_b_0.1x",0.68,"OTU73","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"sia0103","V2_kuehnlab_strainbank_active1","C2","sequenced_strainbank_array1","B8","TSB_variant_b_0.1x",0.495,"sia01","Forest (Busey Woods)","2018-10-04",40.127,-88.209,"Incubated at room temperature for 7 days","soil","ENVO:00001998"
"sic1102","V2_kuehnlab_strainbank_active1","C3","sequenced_strainbank_array1","B9","TSB_variant_b_0.1x",0.893,"sic11","Prairie (Meadowbrook)","2018-10-18",40.079,-88.205,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"sid0305","V2_kuehnlab_strainbank_active1","C4","sequenced_strainbank_array1","B10","TSB_variant_b_0.1x",0.42,"sid03","Forest (Busey Woods)","2018-10-18",40.127,-88.209,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sib0509","V2_kuehnlab_strainbank_active1","C5","sequenced_strainbank_array1","B11","TSB_variant_b_0.1x",0.921,"sib05","Prairie (Meadowbrook)","2018-10-18",40.079,-88.205,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"OTU3427","V2_kuehnlab_strainbank_active1","C6","sequenced_strainbank_array1","B12","TSB_variant_b_0.1x",0.417,"OTU34","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"sif0631","V2_kuehnlab_strainbank_active1","C7","sequenced_strainbank_array1","C1","TSB_variant_b_0.1x",1.139,"sif06","Lawn (Loomis)","2019-05-24",40.111,-88.222,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sid0405","V2_kuehnlab_strainbank_active1","C8","sequenced_strainbank_array1","C2","TSB_variant_b_0.1x",0.443,"sid04","Forest (Busey Woods)","2018-10-18",40.127,-88.209,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sid0605","V2_kuehnlab_strainbank_active1","C9","sequenced_strainbank_array1","C3","TSB_variant_b_0.1x",0.57,"sid06","Agricultural (corn field)","2018-10-18",40.057,-88.232,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sif2331","V2_kuehnlab_strainbank_active1","D1","sequenced_strainbank_array1","C4","TSB_variant_b_0.1x",0.705,"sif23","Lawn (Japan House)","2019-05-24",40.093,-88.218,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sif2332","V2_kuehnlab_strainbank_active1","D2","sequenced_strainbank_array1","C5","TSB_variant_b_0.1x",0.556,"sif23","Lawn (Japan House)","2019-05-24",40.093,-88.218,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"fb46","V2_kuehnlab_strainbank_active1","D3","sequenced_strainbank_array1","C6","TSB_variant_b_0.1x",0.965,"SCL_G","","2024-08-23",34.708531,-120.041808,"TSB_10%_pH7","soil","ENVO:00001998"
"JW81703","V2_kuehnlab_strainbank_active1","D4","sequenced_strainbank_array1","C7","TSB_variant_b_0.1x",-0.003,"Neutral3","","2022-09-11",46.781194,-117.084732,"soil17_perturbedpH8.45_isolationpH8","soil","ENVO:00001998"
"JW80607","V2_kuehnlab_strainbank_active1","D5","sequenced_strainbank_array1","C8","TSB_variant_b_0.1x",0.564,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH8.48_isolationpH8","soil","ENVO:00001998"
"JW71708","V2_kuehnlab_strainbank_active1","D6","sequenced_strainbank_array1","C9","TSB_variant_b_0.1x",0.425,"Neutral3","","2022-09-11",46.781194,-117.084732,"soil17_perturbedpH7.6_isolationpH7","soil","ENVO:00001998"
"sif2233","V2_kuehnlab_strainbank_active1","D7","sequenced_strainbank_array1","C10","TSB_variant_b_0.1x",0.769,"sif22","Lawn (Japan House)","2019-05-24",40.093,-88.218,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sid0404","V2_kuehnlab_strainbank_active1","D8","sequenced_strainbank_array1","C11","TSB_variant_b_0.1x",0.708,"sid04","Forest (Busey Woods)","2018-10-18",40.127,-88.209,"Incubated at 30 °C for 6 days with 10 mM NO2-","soil","ENVO:00001998"
"sif2416","V2_kuehnlab_strainbank_active1","D9","sequenced_strainbank_array1","C12","TSB_variant_b_0.1x",0.576,"sif24","Lawn (Japan House)","2019-05-24",40.093,-88.218,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sif0611","V2_kuehnlab_strainbank_active1","E1","sequenced_strainbank_array1","D1","TSB_variant_b_0.1x",0.935,"sif06","Lawn (Loomis)","2019-05-24",40.111,-88.222,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"OTU4895","V2_kuehnlab_strainbank_active1","E2","sequenced_strainbank_array1","D2","TSB_variant_b_0.1x",0.58,"OTU48","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"JW71707","V2_kuehnlab_strainbank_active1","E3","sequenced_strainbank_array1","D3","TSB_variant_b_0.1x",0.301,"Neutral3","","2022-09-11",46.781194,-117.084732,"soil17_perturbedpH7.6_isolationpH7","soil","ENVO:00001998"
"JW70603","V2_kuehnlab_strainbank_active1","E4","sequenced_strainbank_array1","D4","TSB_variant_b_0.1x",-0.002,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH7.32_isolationpH7","soil","ENVO:00001998"
"sif0513","V2_kuehnlab_strainbank_active1","E5","sequenced_strainbank_array1","D5","TSB_variant_b_0.1x",0.839,"sif05","Lawn (Loomis)","2019-05-24",40.111,-88.222,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sie0102","V2_kuehnlab_strainbank_active1","E6","sequenced_strainbank_array1","D6","TSB_variant_b_0.1x",0.894,"sie01","Prairie (Meadowbrook)","2019-05-24",40.079,-88.205,"No incubation","soil","ENVO:00001998"
"sic1506","V2_kuehnlab_strainbank_active1","E7","sequenced_strainbank_array1","D7","TSB_variant_b_0.1x",1.107,"sic15","Lawn (Loomis)","2018-10-18",40.111,-88.222,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"JW80604","V2_kuehnlab_strainbank_active1","E9","sequenced_strainbank_array1","D9","TSB_variant_b_0.1x",0.483,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH8.48_isolationpH8","soil","ENVO:00001998"
"KC75122","V2_kuehnlab_strainbank_active1","F1","sequenced_strainbank_array1","D10","TSB_variant_b_0.1x",0.568,"5","","2020-11-01",40.081,-88.202,"isolated from KG glycerol stock ph 7 soil sample 5 cycle 12 02/21","soil","ENVO:00001998"
"sif0532","V2_kuehnlab_strainbank_active1","F2","sequenced_strainbank_array1","D11","TSB_variant_b_0.1x",0.886,"sif05","Lawn (Loomis)","2019-05-24",40.111,-88.222,"Incubated at 30 °C for 14 days with 1 mM NO2-","soil","ENVO:00001998"
"sib0102","V2_kuehnlab_strainbank_active1","F3","sequenced_strainbank_array1","D12","TSB_variant_b_0.1x",1.008,"sib01","Lawn (Japan House)","2018-10-18",40.093,-88.218,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"sia0102","V2_kuehnlab_strainbank_active1","F4","sequenced_strainbank_array1","E1","TSB_variant_b_0.1x",0.698,"sia01","Forest (Busey Woods)","2018-10-04",40.127,-88.209,"Incubated at room temperature for 7 days","soil","ENVO:00001998"
"sic1205","V2_kuehnlab_strainbank_active1","F5","sequenced_strainbank_array1","E2","TSB_variant_b_0.1x",1.905,"sic12","Prairie (Meadowbrook)","2018-10-18",40.079,-88.205,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"OTU672","V2_kuehnlab_strainbank_active1","F6","sequenced_strainbank_array1","E3","TSB_variant_b_0.1x",0.425,"OTU67","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"sic1606","V2_kuehnlab_strainbank_active1","F7","sequenced_strainbank_array1","E4","TSB_variant_b_0.1x",0.475,"sic16","Lawn (Loomis)","2018-10-18",40.111,-88.222,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
